WARNING 2024-02-19 22:39:14,882 log 16072 17244 Not Found: /recipes/index/images/image_4.jpg
WARNING 2024-02-19 22:39:14,884 log 16072 6100 Not Found: /recipes/index/images/bg_3.jpg
WARNING 2024-02-19 22:39:14,884 basehttp 16072 6208 "GET /recipes/index/images/image_3.jpg HTTP/1.1" 404 2357
WARNING 2024-02-19 22:39:14,884 basehttp 16072 18444 "GET /recipes/index/images/image_5.jpg HTTP/1.1" 404 2357
WARNING 2024-02-19 22:39:14,888 basehttp 16072 17244 "GET /recipes/index/images/image_4.jpg HTTP/1.1" 404 2357
WARNING 2024-02-19 22:39:14,895 basehttp 16072 6100 "GET /recipes/index/images/bg_3.jpg HTTP/1.1" 404 2348
WARNING 2024-02-19 22:39:14,901 log 16072 24868 Not Found: /recipes/index/images/category-2.jpg
WARNING 2024-02-19 22:39:14,902 log 16072 9528 Not Found: /recipes/index/images/category-1.jpg
WARNING 2024-02-19 22:39:14,905 basehttp 16072 24868 "GET /recipes/index/images/category-2.jpg HTTP/1.1" 404 2366
WARNING 2024-02-19 22:39:14,905 basehttp 16072 9528 "GET /recipes/index/images/category-1.jpg HTTP/1.1" 404 2366
WARNING 2024-02-19 22:39:14,907 log 16072 6208 Not Found: /recipes/index/images/about.jpg
WARNING 2024-02-19 22:39:14,908 basehttp 16072 6208 "GET /recipes/index/images/about.jpg HTTP/1.1" 404 2351
INFO 2024-02-19 22:39:54,554 basehttp 16072 6208 "GET /recipes/index/ HTTP/1.1" 200 22901
WARNING 2024-02-19 22:39:54,589 log 16072 9528 Not Found: /recipes/index/static '/recipes/css/styles.css'
WARNING 2024-02-19 22:39:54,590 log 16072 24868 Not Found: /recipes/index/images/blog-1.jpg
WARNING 2024-02-19 22:39:54,591 basehttp 16072 9528 "GET /recipes/index/static%20'/recipes/css/styles.css' HTTP/1.1" 404 2431
WARNING 2024-02-19 22:39:54,595 log 16072 6208 Not Found: /recipes/index/static '/recipes/css/open-iconic-bootstrap.min.css'
WARNING 2024-02-19 22:39:54,597 log 16072 6100 Not Found: /recipes/index/images/blog-2.jpg
WARNING 2024-02-19 22:39:54,597 basehttp 16072 24868 "GET /recipes/index/images/blog-1.jpg HTTP/1.1" 404 2354
WARNING 2024-02-19 22:39:54,601 basehttp 16072 6208 "GET /recipes/index/static%20'/recipes/css/open-iconic-bootstrap.min.css' HTTP/1.1" 404 2488
WARNING 2024-02-19 22:39:54,602 basehttp 16072 6100 "GET /recipes/index/images/blog-2.jpg HTTP/1.1" 404 2354
WARNING 2024-02-19 22:39:54,605 log 16072 18444 Not Found: /recipes/index/images/author.jpg
WARNING 2024-02-19 22:39:54,608 log 16072 17244 Not Found: /recipes/index/images/blog-3.jpg
WARNING 2024-02-19 22:39:54,612 basehttp 16072 18444 "GET /recipes/index/images/author.jpg HTTP/1.1" 404 2354
WARNING 2024-02-19 22:39:54,615 basehttp 16072 17244 "GET /recipes/index/images/blog-3.jpg HTTP/1.1" 404 2354
WARNING 2024-02-19 22:39:54,624 log 16072 9528 Not Found: /recipes/index/js/jquery.min.js
WARNING 2024-02-19 22:39:54,625 basehttp 16072 9528 "GET /recipes/index/js/jquery.min.js HTTP/1.1" 404 2351
WARNING 2024-02-19 22:39:54,631 log 16072 24868 Not Found: /recipes/index/js/jquery-migrate-3.0.1.min.js
